0	 CONN	6	 1	 up
200000	 CONN	6	 1	 up
201000	 CONN	6	 1	 down
202000	 CONN	6	 1	 up
203000	 CONN	6	 1	 down
204000	 CONN	6	 1	 up
205000	 CONN	6	 1	 down
206000	 CONN	6	 1	 up
207000	 CONN	6	 1	 down
208000	 CONN	6	 1	 up
209000	 CONN	6	 1	 down
210000	 CONN	6	 1	 up
211000	 CONN	6	 1	 down
212000	 CONN	6	 1	 up
213000	 CONN	6	 1	 down
214000	 CONN	6	 1	 up
215000	 CONN	6	 1	 down
216000	 CONN	6	 1	 up
217000	 CONN	6	 1	 down
218000	 CONN	6	 1	 up
219000	 CONN	6	 1	 down
220000	 CONN	6	 1	 up
221000	 CONN	6	 1	 down
222000	 CONN	6	 1	 up
223000	 CONN	6	 1	 down
224000	 CONN	6	 1	 up
225000	 CONN	6	 1	 down
226000	 CONN	6	 1	 up
227000	 CONN	6	 1	 down
228000	 CONN	6	 1	 up
229000	 CONN	6	 1	 down
230000	 CONN	6	 1	 up
231000	 CONN	6	 1	 down
232000	 CONN	6	 1	 up
233000	 CONN	6	 1	 down
234000	 CONN	6	 1	 up
235000	 CONN	6	 1	 down
236000	 CONN	6	 1	 up
237000	 CONN	6	 1	 down
238000	 CONN	6	 1	 up
239000	 CONN	6	 1	 down
240000	 CONN	6	 1	 up
241000	 CONN	6	 1	 down
242000	 CONN	6	 1	 up
243000	 CONN	6	 1	 down
244000	 CONN	6	 1	 up
245000	 CONN	6	 1	 down
246000	 CONN	6	 1	 up
247000	 CONN	6	 1	 down
248000	 CONN	6	 1	 up
249000	 CONN	6	 1	 down
250000	 CONN	6	 1	 up
251000	 CONN	6	 1	 down
252000	 CONN	6	 1	 up
253000	 CONN	6	 1	 down
254000	 CONN	6	 1	 up
255000	 CONN	6	 1	 down
256000	 CONN	6	 1	 up
257000	 CONN	6	 1	 down
258000	 CONN	6	 1	 up
259000	 CONN	6	 1	 down
260000	 CONN	6	 1	 up
261000	 CONN	6	 1	 down
262000	 CONN	6	 1	 up
263000	 CONN	6	 1	 down
264000	 CONN	6	 1	 up
265000	 CONN	6	 1	 down
266000	 CONN	6	 1	 up
267000	 CONN	6	 1	 down
268000	 CONN	6	 1	 up
269000	 CONN	6	 1	 down
270000	 CONN	6	 1	 up
271000	 CONN	6	 1	 down
272000	 CONN	3	 2	 up
273000	 CONN	3	 2	 down
274000	 CONN	3	 2	 up
275000	 CONN	3	 2	 down
276000	 CONN	3	 2	 up
277000	 CONN	3	 2	 down
278000	 CONN	3	 2	 up
279000	 CONN	3	 2	 down
280000	 CONN	3	 2	 up
281000	 CONN	3	 2	 down
282000	 CONN	3	 2	 up
283000	 CONN	3	 2	 down
284000	 CONN	3	 2	 up
285000	 CONN	3	 2	 down
286000	 CONN	3	 2	 up
287000	 CONN	3	 2	 down
288000	 CONN	3	 2	 up
289000	 CONN	3	 2	 down
290000	 CONN	3	 2	 up
291000	 CONN	3	 2	 down
292000	 CONN	3	 2	 up
293000	 CONN	3	 2	 down
294000	 CONN	3	 2	 up
295000	 CONN	3	 2	 down
296000	 CONN	3	 2	 up
297000	 CONN	3	 2	 down
298000	 CONN	3	 2	 up
299000	 CONN	3	 2	 down
300000	 CONN	3	 2	 up
301000	 CONN	3	 2	 down
302000	 CONN	3	 2	 up
303000	 CONN	3	 2	 down
304000	 CONN	3	 2	 up
305000	 CONN	3	 2	 down
306000	 CONN	3	 2	 up
307000	 CONN	3	 2	 down
308000	 CONN	3	 2	 up
309000	 CONN	3	 2	 down
310000	 CONN	3	 2	 up
311000	 CONN	3	 2	 down
312000	 CONN	3	 2	 up
313000	 CONN	3	 2	 down
314000	 CONN	3	 2	 up
315000	 CONN	3	 2	 down
316000	 CONN	3	 2	 up
317000	 CONN	3	 2	 down
318000	 CONN	3	 2	 up
319000	 CONN	3	 2	 down
320000	 CONN	3	 2	 up
321000	 CONN	3	 2	 down
322000	 CONN	3	 2	 up
323000	 CONN	3	 2	 down
324000	 CONN	3	 2	 up
325000	 CONN	3	 2	 down
326000	 CONN	3	 2	 up
327000	 CONN	3	 2	 down
328000	 CONN	3	 2	 up
329000	 CONN	3	 2	 down
330000	 CONN	3	 2	 up
331000	 CONN	3	 2	 down
332000	 CONN	3	 2	 up
333000	 CONN	3	 2	 down
334000	 CONN	3	 2	 up
335000	 CONN	3	 2	 down
336000	 CONN	3	 2	 up
337000	 CONN	3	 2	 down
338000	 CONN	3	 2	 up
339000	 CONN	3	 2	 down
340000	 CONN	3	 2	 up
341000	 CONN	3	 2	 down
342000	 CONN	3	 2	 up
343000	 CONN	3	 2	 down
344000	 CONN	3	 2	 up
345000	 CONN	3	 2	 down
346000	 CONN	3	 2	 up
347000	 CONN	3	 2	 down
348000	 CONN	3	 2	 up
349000	 CONN	3	 2	 down
350000	 CONN	3	 2	 up
351000	 CONN	3	 2	 down
352000	 CONN	3	 2	 up
353000	 CONN	3	 2	 down
354000	 CONN	3	 2	 up
355000	 CONN	3	 2	 down
356000	 CONN	3	 2	 up
357000	 CONN	3	 2	 down
358000	 CONN	3	 2	 up
359000	 CONN	3	 2	 down
360000	 CONN	3	 2	 up
361000	 CONN	3	 2	 down
362000	 CONN	3	 2	 up
363000	 CONN	3	 2	 down
364000	 CONN	3	 2	 up
365000	 CONN	3	 2	 down
366000	 CONN	3	 2	 up
367000	 CONN	3	 2	 down
368000	 CONN	3	 2	 up
369000	 CONN	3	 2	 down
370000	 CONN	3	 2	 up
371000	 CONN	3	 2	 down
372000	 CONN	3	 2	 up
373000	 CONN	3	 2	 down
374000	 CONN	3	 2	 up
375000	 CONN	3	 2	 down
376000	 CONN	3	 2	 up
377000	 CONN	3	 2	 down
378000	 CONN	3	 2	 up
379000	 CONN	3	 2	 down
380000	 CONN	3	 2	 up
381000	 CONN	3	 2	 down
382000	 CONN	3	 2	 up
383000	 CONN	3	 2	 down
384000	 CONN	3	 2	 up
385000	 CONN	3	 2	 down
386000	 CONN	3	 2	 up
387000	 CONN	3	 2	 down
388000	 CONN	3	 2	 up
389000	 CONN	3	 2	 down
390000	 CONN	3	 2	 up
391000	 CONN	3	 2	 down
392000	 CONN	3	 2	 up
393000	 CONN	3	 2	 down
394000	 CONN	3	 2	 up
395000	 CONN	3	 2	 down
396000	 CONN	3	 2	 up
397000	 CONN	3	 2	 down
398000	 CONN	3	 2	 up
399000	 CONN	3	 2	 down
400000	 CONN	3	 2	 up
401000	 CONN	3	 2	 down
402000	 CONN	3	 2	 up
403000	 CONN	3	 2	 down
404000	 CONN	3	 2	 up
405000	 CONN	3	 2	 down
406000	 CONN	3	 2	 up
407000	 CONN	3	 2	 down
408000	 CONN	3	 2	 up
409000	 CONN	3	 2	 down
410000	 CONN	3	 2	 up
411000	 CONN	3	 2	 down
412000	 CONN	3	 2	 up
413000	 CONN	3	 2	 down
414000	 CONN	3	 2	 up
415000	 CONN	3	 2	 down
416000	 CONN	3	 2	 up
417000	 CONN	3	 2	 down
418000	 CONN	3	 2	 up
419000	 CONN	3	 2	 down
420000	 CONN	3	 2	 up
421000	 CONN	3	 2	 down
422000	 CONN	3	 2	 up
423000	 CONN	3	 2	 down
424000	 CONN	3	 2	 up
425000	 CONN	3	 2	 down
426000	 CONN	3	 2	 up
427000	 CONN	3	 2	 down
428000	 CONN	3	 2	 up
429000	 CONN	3	 2	 down
430000	 CONN	3	 2	 up
431000	 CONN	3	 2	 down
432000	 CONN	3	 2	 up
433000	 CONN	3	 2	 down
434000	 CONN	3	 2	 up
435000	 CONN	3	 2	 down
436000	 CONN	3	 2	 up
437000	 CONN	3	 2	 down
438000	 CONN	3	 2	 up
439000	 CONN	3	 2	 down
440000	 CONN	3	 2	 up
441000	 CONN	3	 2	 down
